Company,Location,Year,Time,Rocket,MissionStatus,RocketStatus,Price,Mission
AEB,"VLS Pad, Alcântara Launch Center, Maranhão, Brazil",1997,,VLS-1,0,Retired,,SCD-2A
AEB,"VLS Pad, Alcântara Launch Center, Maranhão, Brazil",1999,1899-12-30 19:40:00,VLS-1,0,Retired,,SACI-2
AEB,"VLS Pad, Alcântara Launch Center, Maranhão, Brazil",2003,,VLS-1,0,Retired,,"SATEC, UNOSAT"
AMBA,"LA-5B, RAAF Woomera Range Complex, Australia",1967,,Redstone Sparta,1,Retired,,WRESAT
AMBA,"LC-26A, Cape Canaveral AFS, Florida, USA",1958,1899-12-30 03:48:00,Juno I,1,Retired,,Explorer 1
AMBA,"LC-26A, Cape Canaveral AFS, Florida, USA",1958,1899-12-30 18:27:00,Juno I,0,Retired,,Explorer 2
AMBA,"LC-5, Cape Canaveral AFS, Florida, USA",1958,1899-12-30 03:21:00,Juno I,0,Retired,,Beacon 1
AMBA,"LC-5, Cape Canaveral AFS, Florida, USA",1958,1899-12-30 05:44:00,Juno II,0,Retired,,Pioneer 3
AMBA,"LC-5, Cape Canaveral AFS, Florida, USA",1958,1899-12-30 06:17:00,Juno I,0,Retired,,Explorer 5
AMBA,"LC-5, Cape Canaveral AFS, Florida, USA",1958,1899-12-30 15:00:00,Juno I,1,Retired,,Explorer 4
AMBA,"LC-5, Cape Canaveral AFS, Florida, USA",1958,1899-12-30 17:38:00,Juno I,1,Retired,,Explorer 3
Arianespace,"ELA-1, Guiana Space Centre, French Guiana, France",1984,1899-12-30 01:14:00,Ariane 3,1,Retired,,"Spacenet 2, MARECS-2"
Arianespace,"ELA-1, Guiana Space Centre, French Guiana, France",1984,1899-12-30 13:32:00,Ariane 3,1,Retired,,"Eutelsat-1 F2, Telecom 1A"
Arianespace,"ELA-1, Guiana Space Centre, French Guiana, France",1985,1899-12-30 01:15:00,Ariane 3,1,Retired,,"GStar-1, Telecom 1B"
Arianespace,"ELA-1, Guiana Space Centre, French Guiana, France",1985,1899-12-30 23:22:00,Ariane 3,1,Retired,,"Arabsat-1A, Brasilsat-A1"
Arianespace,"ELA-1, Guiana Space Centre, French Guiana, France",1985,1899-12-30 23:26:00,Ariane 3,0,Retired,,"ECS 3, Spacenet 3"
Arianespace,"ELA-1, Guiana Space Centre, French Guiana, France",1986,1899-12-30 00:53:00,Ariane 2,0,Retired,,Intelsat-5A 14
Arianespace,"ELA-1, Guiana Space Centre, French Guiana, France",1987,1899-12-30 00:45:00,Ariane 3,1,Retired,,"Aussat-A3, Eutelsat 1-F4"
Arianespace,"ELA-1, Guiana Space Centre, French Guiana, France",1988,1899-12-30 02:17:00,Ariane 2,1,Retired,,TDF-1
Arianespace,"ELA-1, Guiana Space Centre, French Guiana, France",1988,1899-12-30 23:12:00,Ariane 3,1,Retired,,"Insat 1C, Eutelsat-1 F5"
Arianespace,"ELA-1, Guiana Space Centre, French Guiana, France",1988,1899-12-30 23:28:00,Ariane 3,1,Retired,,"Spacenet 3R, Telecom 1C"
Arianespace,"ELA-1, Guiana Space Centre, French Guiana, France",1988,1899-12-30 23:58:00,Ariane 2,1,Retired,,Intelsat 3AF13
Arianespace,"ELA-1, Guiana Space Centre, French Guiana, France",1989,1899-12-30 00:14:00,Ariane 3,1,Retired,,Olympus-1
Arianespace,"ELA-1, Guiana Space Centre, French Guiana, France",1989,1899-12-30 01:21:00,Ariane 2,1,Retired,,Intelsat-5A 15
Arianespace,"ELA-1, Guiana Space Centre, French Guiana, France",1989,1899-12-30 02:28:00,Ariane 2,1,Retired,,TELE-X
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1986,1899-12-30 23:30:00,Ariane 3,1,Retired,,"GStar-2, Brasilsat-A2"
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1987,1899-12-30 02:19:00,Ariane 2,1,Retired,,TVSAT-1
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1988,1899-12-30 00:33:00,Ariane 44LP,1,Retired,,"Skynet 4B, Astra 1A"
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1988,1899-12-30 23:00:00,Ariane 3,1,Retired,,"GStar 5, SBS 5"
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1989,1899-12-30 22:37:00,Ariane 44L,1,Retired,,"Superbird-A, DFS-1"
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1989,1899-12-30 23:05:00,Ariane 44L,1,Retired,,Intelsat 6AF2
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1989,1899-12-30 23:25:00,Ariane 44LP,1,Retired,,"TVSAT-2, Hipparcos"
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1989,1899-12-30 23:29:00,Ariane 44LP,1,Retired,,JCSAT-1 & Meteosat 4
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1990,1899-12-30 01:35:00,Ariane 40,1,Retired,,"SPOT-2, Oscar 14-19"
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1990,1899-12-30 22:25:00,Ariane 44L,1,Retired,,"TDF-2, DFS-2"
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1990,1899-12-30 22:46:00,Ariane 44L,1,Retired,,"Skynet 4C, Eutelsat 2F1"
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1990,1899-12-30 22:58:00,Ariane 44L,1,Retired,,"SBS-6, Galaxy-6"
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1990,1899-12-30 23:11:00,Ariane 42P,1,Retired,,"Satcom C1, GStar-4"
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1990,1899-12-30 23:17:00,Ariane 44L,0,Retired,,"Superbird-B, BS-2X"
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1991,1899-12-30 01:46:00,Ariane 40,1,Retired,,"ERS-1, Oscar 22, Orbcomm-X, Tubsat-A, SARA"
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1991,1899-12-30 22:19:00,Ariane 44L,1,Retired,,"Telecom 2A, Inmarsat 2F3"
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1991,1899-12-30 23:08:00,Ariane 44L,1,Retired,,Intelsat 6AF1
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1991,1899-12-30 23:10:00,Ariane 44L,1,Retired,,"Italsat-1, Eutelsat 2F2"
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1991,1899-12-30 23:15:00,Ariane 44L,1,Retired,,Intelsat 605
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1991,1899-12-30 23:33:00,Ariane 44P,1,Retired,,Anik E2
